neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,days_since_last_review,log_price
Brooklyn,Prospect Heights,Private room,104.0,30,99,0.64,3,337,3,109.0,4.65396
Brooklyn,Greenpoint,Entire home/apt,200.0,30,46,0.29,1,89,0,2020.0,5.303305
Manhattan,Hell's Kitchen,Entire home/apt,151.0,30,82,0.52,1,95,6,19.0,5.0238805
Manhattan,East Harlem,Entire home/apt,120.0,30,254,1.61,1,195,5,33.0,4.7957907
Manhattan,Harlem,Private room,82.0,30,31,0.85,2,365,0,473.0,4.4188404
Manhattan,Harlem,Entire home/apt,105.0,2,324,2.2,2,162,57,16.0,4.6634393
Staten Island,Tottenville,Entire home/apt,150.0,30,106,0.73,1,219,1,118.0,5.0172796
Brooklyn,Bedford-Stuyvesant,Entire home/apt,135.0,90,3,0.02,1,365,0,3275.0,4.912655
Brooklyn,Bedford-Stuyvesant,Entire home/apt,180.0,30,35,0.29,1,89,0,1981.0,5.198497
Brooklyn,Crown Heights,Entire home/apt,140.0,30,209,1.33,2,305,0,2202.0,4.94876
Staten Island,Tompkinsville,Private room,84.0,30,24,0.17,2,348,0,2125.0,4.4426513
Manhattan,Hell's Kitchen,Private room,175.0,2,460,2.93,1,45,35,16.0,5.170484
Queens,Astoria,Private room,80.0,30,129,0.82,2,275,3,10.0,4.394449
Brooklyn,Williamsburg,Private room,150.0,30,8,0.05,1,89,0,2101.0,5.0172796
Manhattan,Harlem,Entire home/apt,283.0,30,9,0.06,11,364,1,33.0,5.6489744
Manhattan,Harlem,Entire home/apt,350.0,30,10,0.06,11,351,0,753.0,5.8607864
Manhattan,Harlem,Private room,64.0,30,32,0.2,2,327,2,124.0,4.1743875
Manhattan,Harlem,Private room,64.0,30,29,0.18,2,319,0,671.0,4.1743875
Brooklyn,Bedford-Stuyvesant,Private room,130.0,2,161,0.99,1,327,43,9.0,4.8751974
Manhattan,East Village,Private room,89.0,30,189,1.15,1,256,1,92.0,4.4998097
Manhattan,Harlem,Private room,87.0,30,102,0.65,1,216,7,35.0,4.477337
Manhattan,Washington Heights,Entire home/apt,195.0,30,82,0.51,1,238,3,102.0,5.278115
Brooklyn,Williamsburg,Entire home/apt,238.0,30,290,1.78,1,336,1,232.0,5.476464
Manhattan,Upper East Side,Entire home/apt,179.0,30,162,1.0,1,363,0,614.0,5.192957
Brooklyn,Greenpoint,Entire home/apt,125.0,30,3,0.06,4,363,0,782.0,4.836282
Manhattan,Hell's Kitchen,Private room,108.0,30,185,1.43,3,356,4,196.0,4.691348
Bronx,Co-op City,Private room,46.0,30,21,0.13,2,337,2,176.0,3.8501477
Manhattan,Harlem,Private room,135.0,30,95,0.59,2,179,0,367.0,4.912655
Manhattan,Hell's Kitchen,Private room,124.0,4,250,1.56,1,63,35,42.0,4.828314
Brooklyn,Park Slope,Entire home/apt,167.0,30,10,0.06,1,362,0,1305.0,5.123964
Manhattan,Chelsea,Entire home/apt,290.0,30,152,0.94,1,364,0,604.0,5.673323
Brooklyn,Prospect-Lefferts Gardens,Private room,84.0,30,10,0.06,3,244,0,2232.0,4.4426513
Manhattan,Chinatown,Private room,120.0,30,162,1.0,1,268,0,398.0,4.7957907
Brooklyn,Carroll Gardens,Entire home/apt,575.0,30,1,0.04,3,123,0,702.0,6.3561077
Brooklyn,Williamsburg,Private room,295.0,2,160,0.99,2,81,21,43.0,5.6903596
Bronx,Spuyten Duyvil,Entire home/apt,204.0,30,146,1.3,1,365,0,663.0,5.32301
Manhattan,Upper East Side,Private room,120.0,30,106,0.66,1,150,1,2.0,4.7957907
Queens,Briarwood,Private room,86.0,30,57,0.36,2,365,0,3129.0,4.465908
Manhattan,Upper West Side,Private room,127.0,30,25,0.15,1,365,0,4424.0,4.8520303
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,415.0,30,125,0.78,1,364,0,643.0,6.0306854
Brooklyn,Boerum Hill,Entire home/apt,300.0,30,33,0.21,3,365,0,944.0,5.7071104
Brooklyn,Crown Heights,Entire home/apt,190.0,30,188,1.18,3,187,2,235.0,5.2522736
Brooklyn,Williamsburg,Private room,164.0,30,178,1.1,1,179,0,632.0,5.1059456
Brooklyn,Greenpoint,Entire home/apt,138.0,30,46,0.29,1,364,0,979.0,4.934474
Brooklyn,South Slope,Entire home/apt,182.0,30,355,2.27,1,187,6,18.0,5.209486
Queens,Astoria,Entire home/apt,150.0,30,42,0.26,1,363,0,2423.0,5.0172796
Manhattan,Midtown,Entire home/apt,245.0,30,219,1.36,1,311,0,1630.0,5.5053315
Bronx,Co-op City,Private room,38.0,30,24,0.15,2,336,4,32.0,3.6635616
Manhattan,Washington Heights,Entire home/apt,332.0,4,142,1.08,1,332,23,25.0,5.8081427
Brooklyn,Park Slope,Private room,250.0,30,10,0.28,2,363,0,747.0,5.525453
Brooklyn,Clinton Hill,Entire home/apt,154.0,30,117,0.73,1,182,3,91.0,5.043425
Brooklyn,East New York,Entire home/apt,93.0,30,66,0.41,1,183,0,608.0,4.543295
Brooklyn,South Slope,Entire home/apt,145.0,90,24,0.15,1,234,2,11.0,4.983607
